Date, Aircraft Registration,Departure,Destination,Route,Duration,Flight Start Time (HH:MM),Flight Stop Time (HH:MM),Distance (NM),Day Landings,Night Landings,Night,Instrument,Simulated Instrument,Cross Country,Solo,PIC,SIC,Dual Received,Dual Given,Remarks,Approach 1,Approach 2,Approach 3,Approach 4,Approach 5,Approach 6,Approach 7,Approach 8,Approach 9,Approach 10,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name
2016-01-21,N2044X,8NC8,8NC8,8NC8-KHNZ-8NC8,1.2,,,43.6,0,5,1.2,0,0,0,1.2,1.2,0,0,0,Night pattern work at HNZ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-05,N2044X,KCHO,8NC8,,1.8,,,125.6,0,2,1.8,0,0,1.8,1.1,1.8,0,0,0,Night air tour of Charlottesville with Janet then back to Durham after interview.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-04,N2044X,8NC8,KCHO,,1.1,,,125.6,1,0,0,0.2,0,1.1,1.1,1.1,0,0,0,To Charlottesville for interview at UVA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-18,N2044X,KPDK,8NC8,,2.6,,,301.9,1,0,0,0,0,2.6,0,2.6,0,0,0,Back to Durham with Sabine.  Bumpy down low.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-17,N2044X,8NC8,KPDK,,2.6,,,301.9,1,0,0,0,0,2.6,0,2.6,0,0,0,To Atlanta with Bill and Sabine to meet Jess drop off Bill and have city fun.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-15,N2044X,KBHM,8NC8,KBHM-KBUY-8NC8,3.8,,,421,0,3,2,0,0,3.8,3.8,3.8,0,0,0,Back from Birmingham interview Stop and go x2 at Burlington for night currency.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-14,N2044X,8NC8,KBHM,,3.8,,,421,1,0,0,0,0,3.8,3.8,3.8,0,0,0,Flight to Birmingham for UAB anesthesia interview.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-19,N2044X,8NC8,8NC8,8NC8-KHNZ-8NC8,0.9,,,43,2,0,0,0,0,0,0,0.9,0,0,0,Fun flight with Sabine; touch and go at Oxford-Henderson.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-06,N2044X,KDUJ,8NC8,KDUJ-KJST-8NC8,3,,,306.9,2,0,0,0.5,0,3,0,3,0,0,0,Back home with Bill and Lorne after funeral. Stop in Johnstown for alternator issues. (Charged battery and continued.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-05,N2044X,8NC8,KDUJ,,2.8,,,306.8,1,0,0,0.5,0,2.8,0,2.8,0,0,0,To DuBois with Bill and Lorne for Grampa's funeral. Ground transportation woes.,1-ILS-KDUJ-25-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
